File_Path,SHA256_Hash
/etc/apparmor.d/abstractions/gnupg,a9b845d3f1bbe52c2186f82f25f129699c8f6f737bc98130cd949c25d9cdd2a9
/etc/apparmor.d/abstractions/groff,f8e4b47c6929fdf10311c94eca24440ecc8ee874f524d152e25d143b71e26d49
/etc/apparmor.d/abstractions/gtk,c0765491f52c2478b21dbd284450d660e211bf486e01b9d7038404203f5419cd
/etc/apparmor.d/abstractions/gvfs-open,be69d1dec6f96c6cd688ec5cd5bb6a1be38bd17412104f636eb128ff4416312b
/etc/apparmor.d/abstractions/hosts_access,810d5b18a1ccf4bb75571fcba17b4f8960382104c76341132453ff7966e9d367
/etc/apparmor.d/abstractions/ibus,74ca7079c45577cea6506fda7216464906ee28f8d2449e2d545e2f19034ba2d9
/etc/apparmor.d/abstractions/kde,c530095dc6381f28da3d99c492ff5644205e29561afc4af419cf3bc51ba857e9
/etc/apparmor.d/abstractions/kde-globals-write,d7ef75a787013341841aad9a7c545f54d5f6b9ba22bb381f1ea3013bd735fb75
/etc/apparmor.d/abstractions/kde-icon-cache-write,6142b0d50b828911e52546cceb4d5707027e469b49de14845c98b4fe4d20ff6f
/etc/apparmor.d/abstractions/kde-language-write,307a0159af7380efb699d1afdc4cabebce6b474baf0bbc1e38db55b899ee2d8a
/etc/apparmor.d/abstractions/kde-open5,45ccbd31ba0c95a96e45592f3102fc298803e7e7b64545b6d8b3b980c8554075
/etc/apparmor.d/abstractions/kerberosclient,20a69d2b402a5670e2a43e9648bafecec6919288c921665f083a7571a0f6c5f3
/etc/apparmor.d/abstractions/ldapclient,8f89e367342affc5b096390886aacef98ca02af6e8472018485d0bee66452e71
/etc/apparmor.d/abstractions/libpam-systemd,852dcbf6b03198052f685f52b3413ad655e92be9b1c2aa4b34a168fb9bd8e69e
/etc/apparmor.d/abstractions/likewise,ec7a4c5c6310e15350dbb15bab345afab3ad9f01dbbca9185c56ffa6c8be3938
/etc/apparmor.d/abstractions/mdns,f8b039ce5ebed7dbffdce062f6c1a9306d4946cca0a647d310643c491ec5628e
/etc/apparmor.d/abstractions/mesa,9714890980e66bbdf8223a3b129e8b6f0bba6a5afc8a4f3fee14f1c0da04c51e
/etc/apparmor.d/abstractions/mir,50838c8f1efdf619c07eb5405e718cda7b6c72f0b5a9806c5bce6490331b9b0c
/etc/apparmor.d/abstractions/mozc,9387c7159625fa8e6e5240d21ad73d037c38cd0d206233ee5a7657f62a6d7f45
/etc/apparmor.d/abstractions/mysql,3ec6402c24af4017b28dcbcb5f68608051ea36853b712b69ba4b103e2a77e19c
/etc/apparmor.d/abstractions/nameservice,c71d5ab38539dea932b00e3bccdc6c3f4e8e215c45c0d3ee4b131244887e8f36
/etc/apparmor.d/abstractions/nameservice-strict,6b895eea6799d25cfef0e334d31092724b0f7c2c221e5c9178f6f6620f8b2d91
/etc/apparmor.d/abstractions/nis,920b31479a4b735b1a416790692c481829a7ba2aa20355d33a292bb56d12db05
/etc/apparmor.d/abstractions/nss-systemd,3c3a8615b2023b47643f8864d0cf3a55fd4088fe45c0342d46d03944b2f36005
/etc/apparmor.d/abstractions/nvidia,68c3ece6a6cdc69f369555a3793224e257dffdaeab8f66d19361bbad7428845d
/etc/apparmor.d/abstractions/opencl,871388bfa981e20affb2865fca78ef11ee41e1bd142a0f109bfc811a8e39bea2
/etc/apparmor.d/abstractions/opencl-common,cb42aa1eb48e13fa7c9d12a9e824b393137165b444fa945a6121103ec328c141
/etc/apparmor.d/abstractions/opencl-intel,bb8bd31c6b5303bdeafced1fc0a92f27f791e105b8ed5dd894121a259a02f8b2
/etc/apparmor.d/abstractions/opencl-mesa,d13e8726d5db1a9faf3c3b3a77842a1d3fbc8e6ad735c9bf31a50f5e98761bc1
/etc/apparmor.d/abstractions/opencl-nvidia,cf6c2dab5ad4c68282e3c4c27cc1a3c825826ea993b8947e328327af1bdc993f
/etc/apparmor.d/abstractions/opencl-pocl,942258417ee3e2329a907deb1004b6a15c58409155d7b7848970c25e01482acd
/etc/apparmor.d/abstractions/openssl,d4622d9de854fd68e870232aad98d4491e7e401cf9fb833566d3b28b16b4bf66
/etc/apparmor.d/abstractions/orbit2,9aa13e158a0c1e75ff7f3869572435e96f467f07f01b1f0b89f0247190bef846
/etc/apparmor.d/abstractions/p11-kit,88973776c6d126acf1f173530ddf46b3c379cc4068d7d5eec08e40dae922ccd5
/etc/apparmor.d/abstractions/perl,e9278e87f0d52b5d3a47634fd80fbecbebd73b1f6f920bfcf1411ee3bc7037f8
/etc/apparmor.d/abstractions/php,9b9e5348a43ba71ff8e3a4a408252c8278bb711f7028c2de6944ee66f7a1aa8d
/etc/apparmor.d/abstractions/php-worker,99a120bacdafd9096fcbea7e40cd41fb50fec6d5dc149e4d5eb2b5524227fc5c
/etc/apparmor.d/abstractions/php5,9961890a6efc3fa27d5cda50006a0f135a7520c20878147ade5d51dcc5fe6318
/etc/apparmor.d/abstractions/postfix-common,c498ba9c24065a2d3f0cd85c8dc4de12edaaf31b323f21b519af9c9f7a0a4015
/etc/apparmor.d/abstractions/private-files,4db3f1fe1e1e732672231fe2b08ce1d4494705083cbb4d447cf7490a004f3911
/etc/apparmor.d/abstractions/private-files-strict,90131146c41f69c12bc7df9eb6e2933eb2443d8cee8aaa945a7126aba3666c54
/etc/apparmor.d/abstractions/python,bb76356b4eb80e0f293a3fec2201abf82864487ef98d1128dee5e3316c1915c9
/etc/apparmor.d/abstractions/qt5,7648157600edb83ed30eeb62f69a93b414362947eb363b8e9c295863cbfc5fc0
/etc/apparmor.d/abstractions/qt5-compose-cache-write,33a05390f240fe367bad3de4546d49e68d12b0d38d7f0270501d5075f878352e
/etc/apparmor.d/abstractions/qt5-settings-write,d258ba488fd1fe831715da16950e54dbfb7fcbd17c068630a1232ec99afe5f84
/etc/apparmor.d/abstractions/qt6,ddf5b2a3db183b20d504022442d071a4be23e4bba68f75a8b79d1197749805e0
/etc/apparmor.d/abstractions/qt6-compose-cache-write,91f781d24c7a1e18ff197a8dad7a13dbd3df07feff28da1fcaa8c91ff0027a75
/etc/apparmor.d/abstractions/qt6-settings-write,f0d6368533c44fec55b96f2c3875752dbdd53cf813ab504a55d7edecae7a1c16
/etc/apparmor.d/abstractions/recent-documents-write,819db6a265796deb9e7ef758d8f240f789a3729b7c47ec4018d6b65e75c39e4c
/etc/apparmor.d/abstractions/ruby,6d34c573b266973e801c8625e72a7bebbabde2b320a06db875822fc7a7e47549
/etc/apparmor.d/abstractions/samba,45c5a1c2f3584863ace842dc5cdac21560f4cfa0ad9d890fa9961a840c9e60a8
/etc/apparmor.d/abstractions/samba-rpcd,236e1267f45a37b2f0a4ba2a831a756ba758f4fbead65289ba27b323ecd5a3db
